binary,log_path,io_rw,io_meta,net_total,net_ipv4,net_ipv6,net_unix,mem_mgmt,process_create,execve,priv_ctrl,errno_total,errno_perm,errno_enoent,touch_sensitive,w_x_transition,uses_unlink,duration,rate_cps,err_rate,net_ratio
derb.strace,strace_logs/derb.strace.log,13.0,31.0,0.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02021193504333496,5443.328988498968,0.0,0.0
df.strace,strace_logs/df.strace.log,15.0,43.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01830291748046875,4207.979574822843,0.0,0.0
diff.strace,strace_logs/diff.strace.log,15.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015207052230834961,3551.984055312544,0.0,0.0
diff3.strace,strace_logs/diff3.strace.log,15.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.011956930160522461,4517.209367709517,0.0,0.0
diffimg.strace,strace_logs/diffimg.strace.log,30.0,79.0,0.0,0.0,0.0,0.0,149.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04678201675415039,5537.315404295223,0.0,0.0
dig.strace,strace_logs/dig.strace.log,55.0,131.0,12.0,6.0,2.0,1.0,239.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13057184219360352,3424.402722136808,0.0,0.08391608391608392
dijkstra.strace,strace_logs/dijkstra.strace.log,9.0,14.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009496927261352539,5265.860793814174,0.0,0.0
dir.strace,strace_logs/dir.strace.log,10.0,26.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015325069427490234,4307.668906935499,0.0,0.0
dircolors.strace,strace_logs/dircolors.strace.log,6.0,16.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.012877941131591797,3184.738734402192,0.0,0.0
dirmngr-client.strace,strace_logs/dirmngr-client.strace.log,92.0,172.0,11.0,3.0,0.0,7.0,225.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.14990520477294922,3429.8335803851464,0.0,0.060109289617486336
dirmngr.strace,strace_logs/dirmngr.strace.log,72.0,98.0,3.0,3.0,0.0,0.0,184.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.36432313919067383,991.8785942115671,0.0,0.0297029702970297
dirname.strace,strace_logs/dirname.strace.log,11.0,19.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010618925094604492,4521.231527425402,0.0,0.0
dmesg.strace,strace_logs/dmesg.strace.log,16.0,20.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031311988830566406,1981.0722443882678,0.0,0.0
dot_builtins.strace,strace_logs/dot_builtins.strace.log,110.0,228.0,0.0,0.0,0.0,0.0,371.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14749789237976074,4814.62810372892,0.0,0.0
dpkg-deb.strace,strace_logs/dpkg-deb.strace.log,12.0,29.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017917871475219727,4465.816041941107,0.0,0.0
dpkg-divert.strace,strace_logs/dpkg-divert.strace.log,14.0,32.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03852105140686035,2285.4651634905213,0.0,0.0
dpkg-query.strace,strace_logs/dpkg-query.strace.log,8.0,18.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010509014129638672,4187.881800444667,0.0,0.0
dpkg-split.strace,strace_logs/dpkg-split.strace.log,8.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01905989646911621,2257.0458326557673,0.0,0.0
dpkg-statoverride.strace,strace_logs/dpkg-statoverride.strace.log,12.0,27.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017416000366210938,3962.874055415617,0.0,0.0
dpkg-trigger.strace,strace_logs/dpkg-trigger.strace.log,8.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.010529041290283203,4084.942575064535,0.0,0.0
